Version,"RVGL 21.0125a","P2P","Client"
Session,"08/01/21 21:08:47","ANB BGM","Arcade",3,"true"
Results,"Toy World 1",10
#,Player,Car,Time,BestLap,Finished,Cheating
07,"ZAP HONKA","Concept 4000","02:59:826","00:57:686","true","false"
08,"RBK MARRAX","Concept 4000","03:03:057","00:58:102","true","false"
09,"WAR DRACO","Concept 4000","03:03:139","00:57:345","true","false"
10,"ZAP LOPESCA","Concept 4000","03:09:185","01:02:230","true","false"
11,"ZPL LOQ","Concept 4000","03:29:753","00:57:414","true","false"
12,"ZPL NUC","Concept 4000","03:32:636","00:58:370","true","false"
13,"RAL LINGOT","Concept 4000","185:00:060","05:00:000","false","false"
Results,"Botanical Garden",13
#,Player,Car,Time,BestLap,Finished,Cheating
01,"WAR C.EMMANUEL","Predator","01:21:239","00:25:090","true","false"
02,"ANB BGM","Predator","01:22:444","00:24:807","true","false"
03,"ZPL GORGON","Predator","01:27:486","00:27:384","true","false"
04,"WAR MICHEL","Predator","01:29:196","00:26:181","true","false"
05,"ANB POWERATE","Predator","01:30:342","00:28:562","true","false"
06,"WAR DRACO","Predator","01:33:245","00:28:816","true","false"
07,"ZAP LOPESCA","Predator","01:33:517","00:27:859","true","false"
08,"RBK MARRAX","Predator","01:34:859","00:29:207","true","false"
09,"ZPL NUC","Predator","01:35:873","00:28:458","true","false"
10,"SUS KIKI","Predator","01:37:991","00:26:311","true","false"
11,"RAL LINGOT","Predator","01:39:241","00:30:706","true","false"
12,"ZPL LOQ","Predator","01:40:826","00:32:066","true","false"
13,"ZAP HONKA","Predator","01:44:900","00:28:613","true","false"
