Version,"RVGL 21.0125a","P2P","Server"
Session,"08/13/21 19:01:53","BGM","Arcade",3,"true"
Results,"Toy World 1",6
#,Player,Car,Time,BestLap,Finished,Cheating
13,"MARRAX","Clockwork Turbo","19:24:819","05:00:000","false","true"
Results,"School's Out! 1",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","01:47:486","00:35:069","true","false"
02,"IL ANTELCULAZO","Clockwork Rally","01:52:034","00:35:480","true","true"
03,"MARRAX","Clockwork Turbo","01:57:415","00:36:818","true","true"
04,"HONKA","Clockwork Peak","02:00:184","00:38:518","true","true"
05,"GORGON","Clockwork Midget","02:01:675","00:37:709","true","true"
06,"KIKI","Clockwork Trial","02:03:301","00:37:459","true","true"
07,"ESTEBANMZ","Clockwork Rod","02:04:223","00:39:238","true","true"
08,"TT","Clockwork Beast","02:07:207","00:38:303","true","true"
09,"K6","Clockwork Rod","02:11:174","00:38:418","true","true"
10,"LOQ","Clockwork Rod","02:11:981","00:40:184","true","true"
11,"NUC","Clockwork Trial","02:13:371","00:40:315","true","true"
12,"MACACOSKY","Clockwork Rod","02:14:319","00:41:204","true","true"
13,"G5","Clockwork Trial","02:50:467","00:51:545","true","true"
Results,"Museum 2",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ESTEBANMZ","Clockwork Rod","02:16:150","00:44:011","true","true"
02,"GORGON","Clockwork Midget","02:17:386","00:43:189","true","true"
03,"K6","Clockwork Rod","02:21:900","00:44:970","true","true"
04,"KIKI","Clockwork Trial","02:25:074","00:46:910","true","true"
05,"BGM","Clockwork Turbo","02:25:856","00:45:391","true","false"
06,"MARRAX","Clockwork Turbo","02:25:922","00:45:476","true","true"
07,"MACACOSKY","Clockwork Rod","02:26:608","00:47:217","true","true"
08,"TT","Clockwork Turbo","02:31:118","00:48:622","true","true"
09,"HONKA","Clockwork Peak","02:31:574","00:45:153","true","true"
10,"IL ANTELCULAZO","Clockwork Rally","02:35:479","00:48:782","true","true"
11,"LOQ","Clockwork Rod","02:36:453","00:46:391","true","true"
12,"RV LOCO™®©","Clockwork Ghibli","02:40:787","00:46:154","true","true"
13,"NUC","Clockwork Trial","02:51:835","00:45:690","true","true"
14,"G5","Clockwork Trial","03:05:064","00:58:627","true","true"
Session,"08/13/21 19:49:32","BGM","Arcade",2,"true"
Results,"RV Temple",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"ESTEBANMZ","Clockwork Rod","03:06:894","01:30:879","true","true"
02,"TT","Clockwork Turbo","03:11:127","01:31:756","true","true"
03,"BGM","Clockwork Turbo","03:20:864","01:38:439","true","false"
04,"HONKA","Clockwork Peak","03:23:809","01:35:267","true","true"
05,"MACACOSKY","Clockwork Rod","03:23:930","01:40:372","true","true"
06,"KIKI","Clockwork Trial","03:24:311","01:39:722","true","true"
07,"IL ANTELCULAZO","Clockwork Rally","03:27:321","01:42:116","true","true"
08,"LOQ","Clockwork Rod","03:27:387","01:39:283","true","true"
09,"K6","Clockwork Rod","03:29:259","01:44:464","true","true"
10,"GORGON","Clockwork Midget","03:30:581","01:36:527","true","true"
11,"MARRAX","Clockwork Turbo","03:30:983","01:39:190","true","true"
12,"NUC","Clockwork Trial","04:02:875","02:00:537","true","true"
13,"RV LOCO™®©","Clockwork Ghibli","04:08:291","02:03:731","true","true"
14,"G5","Clockwork Trial","04:16:101","02:05:777","true","true"
Session,"08/13/21 19:54:18","BGM","Arcade",3,"true"
Results,"Jailhouse Rock",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","02:53:275","00:55:231","true","false"
02,"TT","Clockwork Turbo","02:56:464","00:56:672","true","true"
03,"GORGON","Clockwork Midget","03:03:724","01:00:042","true","true"
04,"ESTEBANMZ","Clockwork Rod","03:09:689","01:00:275","true","true"
05,"MACACOSKY","Clockwork Rod","03:13:297","01:03:303","true","true"
06,"IL ANTELCULAZO","Clockwork Rally","03:16:134","01:03:712","true","true"
07,"MARRAX","Clockwork Turbo","03:18:751","01:01:190","true","true"
08,"HONKA","Clockwork Peak","03:20:570","01:03:137","true","true"
09,"LOQ","Clockwork Rod","03:21:273","01:05:493","true","true"
10,"KIKI","Clockwork Trial","03:22:266","01:03:119","true","true"
11,"K6","Clockwork Rod","03:25:567","01:06:460","true","true"
12,"NUC","Clockwork Trial","03:36:974","01:09:959","true","true"
13,"G5","Clockwork Trial","04:54:187","01:37:199","false","true"
Results,"Rooftops",14
#,Player,Car,Time,BestLap,Finished,Cheating
01,"BGM","Clockwork Turbo","02:28:638","00:46:402","true","false"
02,"TT","Clockwork Turbo","02:34:714","00:49:635","true","true"
03,"GORGON","Clockwork Midget","02:41:037","00:51:648","true","true"
04,"MARRAX","Clockwork Turbo","02:42:989","00:47:844","true","true"
05,"MACACOSKY","Clockwork Rod","02:43:654","00:50:597","true","true"
06,"ESTEBANMZ","Clockwork Rod","02:46:963","00:52:677","true","true"
07,"KIKI","Clockwork Trial","02:47:423","00:52:578","true","true"
08,"IL ANTELCULAZO","Clockwork Rally","02:48:538","00:53:554","true","true"
